epoch,phase,loss,mae,rmse,corr_overall,corr_p1,corr_p2,pre_corr,flop_corr,turn_corr,river_corr
1,train,0.3207420947920214,0.6662013726686307,0.8382168833415945,0.3335515050905582,-0.08553525805473328,-0.035333916544914246,0.18561287425023423,nan,0.41959619729374115,nan
0,valid,0.30662590151195757,0.7116742596623413,0.93514782928629,0.22656410402560764,-0.05986790359020233,-0.0852109044790268,0.6899114012854817,nan,0.33159332345240417,nan
2,train,0.3232581064803384,0.8277018179894575,1.0801302336861205,0.22451642275134012,-0.006404123269021511,0.026804037392139435,0.26870729968888724,nan,0.20846767324540005,nan
0,valid,0.30662061169408233,0.7116838511808427,0.9351450173645242,0.22656309282202325,-0.05984444543719292,-0.08519600331783295,0.6899309938350019,nan,0.3316013490843607,nan
1,train,0.3207420947920214,0.6662013726686307,0.8382168833415945,0.3335515050905582,-0.08553525805473328,-0.035333916544914246,0.18561287425023423,nan,0.41959619729374115,nan
1,valid,0.30662590151195757,0.6615980495724568,0.8743082133021627,0.2631686163551338,-0.038807462900877,-0.06319642066955566,0.6384825418131965,nan,0.36504740278278675,nan
1,train,0.3473478584270639,0.6662762211620649,0.8382333036565117,0.333509365131626,-0.08548948913812637,-0.035316675901412964,0.1855811043786822,nan,0.41954641657565434,nan
1,valid,0.30662580010775337,0.661598705202871,0.8743081786082282,0.2631682800656593,-0.03880758211016655,-0.06319638341665268,0.6384822740117145,nan,0.3650474624494238,nan
1,train,0.3473478584270639,0.6662762211620649,0.8382333036565117,0.333509365131626,-0.08548948913812637,-0.035316675901412964,0.1855811043786822,nan,0.41954641657565434,nan
1,valid,0.30662580010775337,0.661598705202871,0.8743081786082282,0.2631682800656593,-0.03880758211016655,-0.06319638341665268,0.6384822740117145,nan,0.3650474624494238,nan
1,train,0.34763082862986694,0.6683418599883166,0.8907754372295492,0.2995053512562736,-0.03400738164782524,-0.04441025108098984,0.31789086681197004,nan,0.291905514885902,nan
1,valid,0.30662746311483424,0.6615949463843828,0.8743097495383041,0.263169681442946,-0.03881540521979332,-0.063199982047081,0.6384785533846555,nan,0.36504528471438985,nan
2,train,0.3470254255670493,0.6974229988144253,0.9318864444105802,0.32473567890040983,-0.023400524631142616,-0.04508010670542717,0.33434704157643863,nan,0.3204518840370211,nan
2,valid,0.30662721106494084,0.66159547068566,0.8743096281303367,0.263169565591874,-0.038814377039670944,-0.06319940835237503,0.6384793289138622,nan,0.3650456418457796,nan
3,train,0.3450079166347173,0.6747136272963229,0.902382000170513,0.2888207534686713,-0.02711094543337822,-0.03048342652618885,0.26841488121972545,nan,0.29860796845810894,nan
3,valid,0.306626914628107,0.6615960621305965,0.8743095089701292,0.26316945979083195,-0.03881312161684036,-0.06319873034954071,0.6384803222001755,nan,0.365046073421453,nan
4,train,0.34837739840340554,0.6845312729622248,0.9234921800387609,0.3072864447633479,-0.02429351955652237,-0.019575759768486023,0.30961584149388904,nan,0.30754764132129697,nan
4,valid,0.30662656359405394,0.6615967388131526,0.8743093956010188,0.26316936249019973,-0.03881169483065605,-0.06319795548915863,0.6384815927900559,nan,0.36504659548589485,nan
5,train,0.3443344609301857,0.6952645394089676,0.9244959093384817,0.2859483209485136,-0.030460290610790253,-0.03892436996102333,0.2579361187194974,nan,0.30022413390480635,nan
5,valid,0.30662614966251445,0.661597494903118,0.8743092801968435,0.26316928484339297,-0.03880986571311951,-0.0631970539689064,0.6384831907830881,nan,0.36504722225799285,nan
6,train,0.34499794930228767,0.6847244918691526,0.9189574576103007,0.29740262749712665,-0.023773517459630966,-0.03337356075644493,0.3623033586779459,nan,0.267696223101513,nan
6,valid,0.30662567702630494,0.6615983349291108,0.8743091555525951,0.26316921378170144,-0.03880774602293968,-0.06319600343704224,0.6384850586702728,nan,0.3650479383636614,nan
7,train,0.34521236483437845,0.6845427329553293,0.91116335214965,0.3213121842084646,-0.0247581135481596,-0.026351183652877808,0.2884530819081051,nan,0.3366881225410729,nan
7,valid,0.3066251518549327,0.6615992555127657,0.8743090200035071,0.2631691415374517,-0.03880547732114792,-0.06319481134414673,0.6384871454610452,nan,0.36504872505911,nan
8,train,0.34391460610542496,0.6596912761283075,0.8942176410899458,0.29034276384871655,-0.013714571483433247,-0.016857076436281204,0.33984756547474776,nan,0.2675095356428609,nan
8,valid,0.30662458012494326,0.6616002555609574,0.8743088731271231,0.26316905881434216,-0.03880295529961586,-0.06319348514080048,0.6384893990062926,nan,0.3650495655802398,nan
9,train,0.34149418990288527,0.6471224577809541,0.8628254460553363,0.3008657044189115,-0.002009275835007429,-0.00964279007166624,0.25541255639364246,nan,0.32098776887838754,nan
9,valid,0.30662396786472057,0.6616013275360043,0.8743087157067828,0.2631689634752995,-0.03880000859498978,-0.06319200992584229,0.6384917796865356,nan,0.3650504460867978,nan
10,train,0.34345004201686,0.6795986686539803,0.9161911972057187,0.303792269663449,0.007095890585333109,0.027589842677116394,0.3653284321093026,nan,0.27434621040139207,nan
10,valid,0.3066233195936713,0.6616024667694691,0.8743085464743483,0.26316885506492294,-0.03879644349217415,-0.06319039314985275,0.6384942558648189,nan,0.3650513570130309,nan
11,train,0.3405432705698205,0.6623128402468892,0.8954947699425552,0.2793487167738377,0.029409661889076233,0.05133892223238945,0.2265826111984564,nan,0.3027725039007297,nan
11,valid,0.3066226394428161,0.6616036669511548,0.8743083664514034,0.2631687344843376,-0.038791973143815994,-0.06318863481283188,0.6384968020587686,nan,0.36505229123853816,nan
12,train,0.33528719212198554,0.6662959225756421,0.8881326817685417,0.28570050287676746,0.06388146430253983,0.08416637778282166,0.28887694117890933,nan,0.28524245195891895,nan
12,valid,0.306621931043745,0.6616049203539051,0.8743081770761538,0.26316860612067283,-0.03878670185804367,-0.06318672746419907,0.6384993998962061,nan,0.365053244401661,nan
13,train,0.3340972301832278,0.6639718843895323,0.8966514879300772,0.3472830262787245,0.05135965719819069,0.16404177248477936,0.3194222614749784,nan,0.3603547804859633,nan
13,valid,0.3066211967273999,0.6616062222984528,0.874307978861087,0.2631684737902974,-0.03878013789653778,-0.06318464875221252,0.6385020342033375,nan,0.3650542102625287,nan
14,train,0.3362830305013026,0.6817881490442941,0.9228411109307573,0.3390722561259135,0.06873609125614166,0.21610409021377563,0.29533038695964,nan,0.35713982829953667,nan
14,valid,0.30662043933714545,0.6616075658190115,0.8743077739395079,0.26316834325322763,-0.03877263143658638,-0.06318242102861404,0.6385046957411683,nan,0.36505518922245817,nan
15,train,0.3263106086514912,0.6769770132721631,0.9201221277900886,0.3521676583053617,0.09302457422018051,0.3110896646976471,0.33534718737548824,nan,0.35982344132464167,nan
15,valid,0.3066196616723557,0.6616089445812751,0.8743075639105262,0.26316822064920087,-0.03876330330967903,-0.06318002194166183,0.6385073748616044,nan,0.3650561807840793,nan
16,train,0.3199412033403254,0.6607999164027002,0.9029697101617574,0.3749695005583728,0.09296495467424393,0.4117196798324585,0.37430949824015597,nan,0.37542457533633256,nan
